   交流 B 相有功功率,,,    0x6031,,,"I16 ，  只读，单位 kW ，放大 10 倍；（正表示放电功率；
负表示充电功率）",,
   交流 C 相有功功率,,,    0x6032,,,"    I16 ，  只读，单位 kW ，放大 10 倍；（正表示放电功率；
   负表示充电功率）",,
   交流 A 相视在功率,,,    0x6033,,,    I16 ，  只读，单位 kVA ，放大 10 倍；,,
   交流 B 相视在功率,,,    0x6034,,,    I16 ，  只读，单位 kVA ，放大 10 倍；,,
   交流 C 相视在功率,,,    0x6035,,,    I16 ，  只读，单位 kVA ，放大 10 倍；,,
   交流 A 相无功功率,,,    0x6036,,,"    I16 ，  只读 ，单位 kvar ，放大 10 倍；（正表示发感性无
   功，  负表示发容性无功）",,
   交流 B 相无功功率,,,    0x6037,,,"    I16 ，  只读 ，单位 kvar ，放大 10 倍；（正表示发感性无
   功，  负表示发容性无功）",,
   交流 C 相无功功率,,,    0x6038,,,"    I16 ，  只读 ，单位 kvar ，放大 10 倍；（正表示发感性无
   功，  负表示发容性无功）",,
   交流输出总有功功率,   ,,    0x6039,,,"    I16 ，  只读，单位 kW ，放大 10 倍；（正表示放电功率；
   负表示充电功率）",,
   交流输出总无功功率,   ,,    0x603A,,,"    I16 ，  只读 ，单位 kvar ，放大 10 倍；（正表示发感性无
   功，  负表示发容性无功）",,
   交流输出总视在功率,   ,,    0x603B,,,    I16 ，  只读，单位 kVA ，放大 10 倍；,,
   交流功率因数,   ,,    0x603C,,,    I16 ，  只读，放大 100 倍；,,
   总母线电压,   ,,    0x6050,,,    I16 ，  只读，单位 V ，放大 10 倍；,,
   正母线电压,   ,,    0x6051,,,    I16 ，  只读，单位 V ，放大 10 倍；,,
   负母线电压,   ,,    0x6052,,,    I16 ，  只读，单位 V ，放大 10 倍；,,
   电池电压,   ,,    0x6053,,,    I16 ，  只读，单位 V ，放大 10 倍；,,
   电池电流,   ,,    0x6054,,,    I16 ，  只读，单位 A ，放大 10 倍；,,
   直流功率,   ,,    0x6055,,,    I16 ，  只读，单位 kW ，放大 10 倍；,,
   直流总电流,   ,,    0x6056,,,"    I16 ，  只读，单位 A ，放大 10 倍,模块并联时用；",,
   工作状态,   ,,    0x6057,,,"   【停机 ，待机 ，运行，故障】
   停机：  全 0 ，表示停机；
   开机中：  Bit0 为 1 ，Bit1 为 1；
   待机：Bit0 、Bit2 都为 1；（0 功率指令）",,
,,,,,,"   运行：
    Bit0 、Bit3 都为 1；（离网使能且设备在运行状态 ，判定
   为离网运行或为直流电压源模式）
    Bit0 、Bit8 都为 1；（并网运行）
   故障：Bit6 为 1；
   PCS 面板指示灯说明：绿色慢闪为停机，绿色快闪为待
   机 ，绿色常亮为运行 ，红色常亮为故障。",,
    IGBT 温度,,,0x6058,,,"    I16 ，  只读，单位℃ ,  放大 10 倍；",,
   环境温度,   ,,0x6059,,,"    I16 ，  只读，单位℃ ,  放大 10 倍；",,
   电感温度,   ,,0x605A,,,"    I16 ，  只读，单位℃ ,  放大 10 倍；",,
   当前实际充放电工作模式,   ,,0x605B,,,"    U16 ，只读 ，  1：  交流电流源模式（恒流、恒功率）  ，0：
   直流电压源模式（ACDC 源使用）",,
   并网/离网状态,,,0x605C,,,"    U16 ，  只读，
    0：  停机；
    1：  开机中；
    2：  待机；
    3：  离网运行；
    4：  并网运行；
    5：  故障；
    6：  调试中；

      （备注：仅适用于新软件程序）",,
    DSP 版本,,,"    0x6000
    0x6001
    0x6002",,,"    U16 ，  只读，软件 V 信息
    U16 ，  只读，软件 B 信息
    U16 ，  只读，软件 D 信息

      （备注：VBD 对应的数值连起来就是程序的版本号，各占据两个字节。譬如V 是 5、B 是
     13、D 是 0，就代表设备程序版本号是 5.13.0。）",,
    CPLD 版本,,,"    0x6003
    0x6004
    0x6005",,,"    U16 ，  只读，软件 V 信息
    U16 ，  只读，软件 B 信息
    U16 ，  只读，软件 D 信息",,
    A 相功率因数,,,0x0189,,,"    I16, 只读 ，放大 100 倍；",,
    B 相功率因数,,,0x018A,,,"    I16, 只读 ，放大 100 倍；",,
    C 相功率因数,,,    0x018B,,,"    I16, 只读 ，放大 100 倍；",,
   直流历史充电量,   ,,    0x6010,,,    UI16 ，  只读，高 16 位；  单位 kWh；,,
,,,    0x6011,,,    UI16 ，  只读，低 16 位；  单位 kWh；,,
   直流日充电量,   ,,    0x6012,,,    UI16 ，  只读，高 16 位；  单位 kWh；,,
,,,    0x6013,,,    UI16 ，  只读，低 16 位；  单位 kWh；,,
   直流历史放电量,   ,,    0x6014,,,    UI16 ，  只读，高 16 位；  单位 kWh；,,
,,,    0x6015,,,    UI16 ，  只读，低 16 位；  单位 kWh；,,
   直流日放电量,   ,,    0x6016,,,    UI16 ，  只读，高 16 位；  单位 kWh；,,
,,,    0x6017,,,    UI16 ，  只读，低 16 位；  单位 kWh；,,
   交流历史充电量,   ,,    0x6018,,,    UI16 ，  只读，高 16 位；  单位 kWh；,,
,,,    0x6019,,,    UI16 ，  只读，低 16 位；  单位 kWh；,,
   交流日充电量,   ,,    0x601A,,,    UI16 ，  只读，高 16 位；  单位 kWh；,,
,,,    0x601B,,,    UI16 ，  只读，低 16 位；  单位 kWh；,,
   交流历史放电量,   ,,    0x601C,,,    UI16 ，  只读，高 16 位；  单位 kWh；,,
,,,    0x601D,,,    UI16 ，  只读，低 16 位；  单位 kWh；,,
   交流日放电量,   ,,    0x601E,,,    UI16 ，  只读，高 16 位；  单位 kWh；,,
,,,    0x601F,,,    UI16 ，  只读，低 16 位；  单位 kWh；,,
   绝缘检测值 Rx,,,    0x0913,,,"    UI16, 只读 ，单位 kΩ;",,
   绝缘检测值 Ry,,,    0x0914,,,"    UI16, 只读 ，单位 kΩ;",,
   模块 SN 码,,,"    0x6070
    ~0x607F",,,"    UI16, 只读 ，0x6070~0x607F, 16 个字长度；
    0x6070 对应 SN 码最高字；  0x607F 对应 SN 码最低字；
   每个字代表两个字母，高字节表示第 1 个字母 ，低字节
   表示第 2 个字母；
   有效字符：ASCII 码；",,
